S.n,Day,Source,Item,Quantity,Total Weight
1033,9/3/2021,Local Grocery,Applesauce (ind),8,0
1034,9/4/2021,Anonymous donor,Toothpaste,8,0
1035,9/4/2021,Community Center,Juice Boxes,5,0
1036,9/5/2021,HAFB,Granola Bars,11,0
1037,9/5/2021,HAFB,Feminine Products (Pads),8,0
1038,9/6/2021,Anonymous donor,Canned Vegetables,6,0
1039,9/7/2021,Anonymous donor,Scent Booster,10,0
1040,9/7/2021,Community Center,Softener,8,0
1041,9/7/2021,HAFB,Ramen,8,0
1042,9/8/2021,Can Castle Contest,Juice Boxes,8,0
1043,9/8/2021,University Club,Pasta,8,0
1044,9/10/2021,Anonymous donor,Toothpaste,5,0
1045,9/10/2021,HAFB,Juice Boxes,7,0
1046,9/11/2021,Individual Donor,Peanut Butter,7,0
1047,9/11/2021,University Club,Cereal,5,0
1048,9/12/2021,Local Grocery,Scent Booster,8,0
1049,9/12/2021,Can Castle Contest,Scent Booster,6,0
1050,9/13/2021,Anonymous donor,Toothpaste,10,0
1051,9/13/2021,Anonymous donor,Fruit cup,8,0
1052,9/13/2021,HAFB,Rice,7,0
1053,9/14/2021,Anonymous donor,Toothbrushes,7,0
1054,9/14/2021,HAFB,Granola / Snack Bars,7,0
1055,9/14/2021,MGM Non-profit,Granola Bars,7,0
1056,9/15/2021,Anonymous donor,Spaghetti Rings Pasta,5,0
1057,9/17/2021,sorority,Toothpaste,9,0
1058,9/17/2021,HAFB,Toothpaste,8,0
1059,9/17/2021,University Club,Pickles,5,0
1060,9/18/2021,Anonymous donor,Green Beans,8,0
1061,9/18/2021,HAFB,Applesauce (ind),6,0
1062,9/19/2021,Starting Inventory,Laundry Detergent,6,0
1063,9/19/2021,Local Grocery,Scent Booster,9,0
1064,9/20/2021,HAFB,Rice,5,0
1065,9/20/2021,Local Grocery,Applesauce (ind),7,0
1066,9/21/2021,HAFB,Rice,6,0
1067,9/22/2021,Anonymous donor,Granola Bars,5,0
1068,9/23/2021,Anonymous donor,Scent Booster,5,0
1069,9/24/2021,HAFB,Peanut Butter Crackers,6,0
1070,9/25/2021,Anonymous donor,Cake Mix,7,0
1071,9/26/2021,Individual Donor,Applesauce (ind),9,0
1072,9/26/2021,Anonymous donor,Ramen,3,0
1073,9/27/2021,Local Grocery,Juice Boxes,6,0
1074,9/29/2021,Community Center,Granola Bars,11,0
1075,9/29/2021,HAFB,Toilet Paper,7,0
1076,9/30/2021,HAFB,Softener,8,0
1077,10/1/2021,HAFB,Canned Vegetables,12,0
1078,10/1/2021,HAFB,Diced Tomatoes,8,0
1079,10/2/2021,HAFB,Scent Booster,11,0
1080,10/2/2021,Anonymous donor,Scent Booster,10,0
1081,10/3/2021,Local Grocery,Peanut Butter Crackers,13,0
1082,10/3/2021,Anonymous donor,Pens,16,0
1083,10/3/2021,HAFB,Green Beans,11,0
1084,10/3/2021,University Club,Rice,8,0
1085,10/4/2021,HAFB,Fruit cup,12,0
1086,10/4/2021,sorority,Scent Booster,12,0
1087,10/5/2021,Anonymous donor,Applesauce (ind),14,0
1088,10/6/2021,University Club,Pasta,15,0
1089,10/7/2021,Anonymous donor,Fruit cup,11,0
1090,10/8/2021,Anonymous donor,Cereal (ind),12,0
1091,10/8/2021,HAFB,Applesauce (ind),13,0
1092,10/11/2021,Individual Donor,Pasta,9,0
1093,10/11/2021,Individual Donor,Green Beans,11,0
1094,10/12/2021,HAFB,Toilet Paper,11,0
1095,10/14/2021,HAFB,Peanut Butter Crackers,12,0
1096,10/14/2021,Police Amnesty Day,Scent Booster,13,0
1097,10/14/2021,University Club,Canned Vegetables,5,0
1098,10/15/2021,Anonymous donor,Softener,10,0
1099,10/15/2021,Anonymous donor,Toothpaste,11,0
1100,10/15/2021,Anonymous donor,Toilet Paper,10,0
1101,10/15/2021,Individual Donor,Rice,11,0
1102,10/16/2021,HAFB,Pasta,10,0
1103,10/16/2021,Individual Donor,Spaghetti Rings Pasta,9,0
1104,10/17/2021,HAFB,Pasta,15,0
1105,10/17/2021,Homecoming Philanthropy,Ramen,17,0
1106,10/17/2021,Homecoming Philanthropy,Ramen,11,0
1107,10/18/2021,sorority,Canned Beans,7,0
1108,10/18/2021,Local Grocery,Granola Bars,12,0
1109,10/18/2021,Individual Donor,Dental Floss,13,0
1110,10/19/2021,University Club,Granola Bars,9,0
1111,10/20/2021,sorority,Canned Beans,7,0
1112,10/21/2021,Starting Inventory,Cereal,13,0
1113,10/21/2021,sorority,Scent Booster,15,0
1114,10/21/2021,HAFB,Rice,12,0
1115,10/21/2021,Anonymous donor,Applesauce (ind),14,0
1116,10/22/2021,HAFB,Fruit cup,10,0
1117,10/23/2021,Individual Donor,Softener,12,0
1118,10/23/2021,Community Center,Juice Boxes,9,0
1119,10/23/2021,Police Amnesty Day,Spaghetti Rings Pasta,7,0
1120,10/24/2021,HAFB,Granola Bars,13,0
1121,10/24/2021,Individual Donor,Granola Bars,7,0
1122,10/26/2021,Community Center,Scent Booster,13,0
1123,10/26/2021,HAFB,Toilet Paper,12,0
1124,10/26/2021,Anonymous donor,Rice Krispies Treats,10,0
1125,10/26/2021,Anonymous donor,Softener,13,0
1126,10/28/2021,HAFB,Laundry Detergent,11,0
1127,10/29/2021,HAFB,Peanut Butter Crackers,10,0
1128,10/29/2021,Anonymous donor,Rice,11,0
1129,10/30/2021,University Club,Rice,11,0
1130,10/30/2021,Individual Donor,Softener,14,0
1131,10/31/2021,University Club,Pasta,7,0
1132,10/31/2021,HAFB,Rice Krispies Treats,11,0
1133,10/31/2021,Community Center,Rice Krispies Treats,11,0
1134,11/4/2021,HAFB,Peanut Butter Crackers,13,0
1135,11/5/2021,Community Center,Softener,17,0
1136,11/5/2021,Local Grocery,Ramen,13,0
1137,11/6/2021,Anonymous donor,Pickles,11,0
1138,11/7/2021,Community Center,Laundry Detergent,14,0
1139,11/7/2021,HAFB,Granola Bars,15,0
1140,11/8/2021,HAFB,Peanut Butter Crackers,10,0
1141,11/9/2021,Anonymous donor,Laundry Detergent,11,0
1142,11/9/2021,Anonymous donor,Cereal,16,0
1143,11/12/2021,HAFB,Canned Beans,14,0
1144,11/12/2021,HAFB,Cereal,12,0
1145,11/12/2021,Individual Donor,Applesauce (ind),12,0
1146,11/13/2021,HAFB,Peanut Butter Crackers,10,0
1147,11/13/2021,Can Castle Contest,Fruit cup,9,0
1148,11/14/2021,University Club,Toilet Paper,13,0
1149,11/14/2021,Community Center,Granola Bars,12,0
1150,11/15/2021,HAFB,Rice,11,0
1151,11/15/2021,Troy University Nursing School,Juice Boxes,13,0
1152,11/16/2021,Community Center,Granola Bars,9,0
1153,11/16/2021,Local Grocery,Chunk Chicken Breast,13,0
1154,11/17/2021,Homecoming Philanthropy,Canned Beans,17,0
1155,11/18/2021,University Club,Granola Bars,9,0
1156,11/18/2021,University Club,Granola Bars,15,0
1157,11/19/2021,Local Grocery,Ramen,15,0
1158,11/20/2021,Individual Donor,Applesauce (ind),12,0
1159,11/22/2021,HAFB,Applesauce (ind),9,0
1160,11/22/2021,Anonymous donor,Granola Bars,12,0
1161,11/22/2021,Local Grocery,Pasta,15,0
1162,11/23/2021,Can Castle Contest,Scent Booster,11,0
1163,11/24/2021,Can Castle Contest,Rice,18,0
1164,11/24/2021,HAFB,Cereal,12,0
1165,11/27/2021,Homecoming Philanthropy,Rice,7,0
1166,11/28/2021,HAFB,Peanut Butter Crackers,17,0
1167,11/28/2021,Anonymous donor,Juice Boxes,13,0
1168,11/29/2021,HAFB,Peanut Butter Crackers,9,0
1169,11/29/2021,University Club,Juice Boxes,14,0
1170,11/29/2021,Troy University Nursing School,Applesauce (ind),10,0
1171,11/29/2021,Individual Donor,Granola Bars,13,0
1172,11/30/2021,Individual Donor,Spaghetti Rings Pasta,14,0
1173,12/1/2021,Anonymous donor,Granola Bars,23,0
1174,12/2/2021,Anonymous donor,Rice,22,0
1175,12/3/2021,HAFB,Pasta,33,0
1176,12/3/2021,Individual Donor,Rice Krispies Treats,44,0
1177,12/3/2021,HAFB,Spaghetti Rings Pasta,40,0
1178,12/3/2021,HAFB,Scent Booster,8,0
1179,12/3/2021,University Club,Spaghetti Noodles,9,0
1180,12/4/2021,Individual Donor,Rice,10,0
1181,12/4/2021,Anonymous donor,Rice Krispies Treats,11,0
1182,12/4/2021,Anonymous donor,Toothpaste,12,0
1183,12/5/2021,University Club,Fruit cup,13,0
1184,12/5/2021,University Club,Laundry Detergent,14,0
1185,12/5/2021,Individual Donor,Granola Bars,15,0
1186,12/5/2021,Individual Donor,Juice Boxes,16,0
1187,12/7/2021,HAFB,Softener,17,0
1188,12/7/2021,HAFB,Softener,18,0
1189,12/7/2021,HAFB,Scent Booster,19,0
1190,12/8/2021,HAFB,Ramen,20,0
1191,12/9/2021,Community Center,Juice Boxes,21,0
1192,12/10/2021,Starting Inventory,Applesauce (ind),22,0
1193,12/10/2021,Starting Inventory,Peas,23,0
1194,12/10/2021,Community Center,Toothpaste,1,0
1195,12/11/2021,Anonymous donor,Toothbrushes,16,0
1196,12/12/2021,HAFB,Large Bag of Chips,17,0
1197,12/13/2021,University Club,Applesauce (ind),18,0
1198,12/13/2021,Local Grocery,Scent Booster,19,0
1199,12/13/2021,Anonymous donor,Ramen,20,0
1200,12/14/2021,HAFB,Applesauce (ind),21,0
1201,12/16/2021,Local Grocery,Green Beans,22,0
1202,12/16/2021,HAFB,Cereal (ind),23,0
1203,12/17/2021,HAFB,Toothpaste,24,0
1204,12/17/2021,Homecoming Philanthropy,Peanut Butter Crackers,25,0
1205,12/17/2021,Community Center,Toilet Paper,26,0
1206,12/18/2021,HAFB,Peanut Butter Crackers,27,0
1207,12/18/2021,HAFB,Canned Beans,28,0
1208,12/18/2021,Community Center,Scent Booster,29,0
1209,12/20/2021,HAFB,Canned Vegetables,30,0
1210,12/21/2021,HAFB,Toothpaste,11,0
1211,12/21/2021,HAFB,Toothbrushes,12,0
1212,12/21/2021,University Club,Granola Bars,13,0
1213,12/21/2021,Starting Inventory,Granola Bars,14,0
1214,12/21/2021,Anonymous donor,Applesauce (ind),15,0
1215,12/21/2021,HAFB,Laundry Detergent,16,0
1216,12/22/2021,Local Grocery,Toothpaste,17,0
1217,12/22/2021,Can Castle Contest,Cereal,18,0
1218,12/22/2021,HAFB,Cereal,19,0
1219,12/23/2021,Anonymous donor,Rice Krispies Treats,20,0
1220,12/23/2021,HAFB,Toothpaste,21,0
1221,12/23/2021,Anonymous donor,Ramen,22,0
1222,12/23/2021,University Club,Peanut Butter Crackers,23,0
1223,12/25/2021,University Club,Bodywash,12,0
1224,12/26/2021,University Club,Pasta,21,0
1225,12/26/2021,University Club,Rice,22,0
1226,12/26/2021,Can Castle Contest,Water,23,0
1227,12/27/2021,Anonymous donor,Oatmeal,24,0
1228,12/27/2021,HAFB,Oatmeal,25,0
1229,12/27/2021,HAFB,Softener,26,0
1230,12/28/2021,Local Grocery,Makeup remover,4,0
1231,12/29/2021,University Club,Softener,2,0
1232,12/29/2021,Community Center,Granola Bars,29,0
1233,12/30/2021,Individual Donor,Fruit cup,30,0
1234,12/30/2021,HAFB,Spaghetti Rings Pasta,31,0
1235,12/30/2021,Anonymous donor,Applesauce (ind),32,0
1236,12/30/2021,Homecoming Philanthropy,Shampoo,33,0
1237,12/31/2021,Anonymous donor,Rice,34,0
1238,1/1/2022,Anonymous donor,Toilet Paper,35,0
1239,1/1/2022,HAFB,Peanut Butter Crackers,44,0
1240,1/1/2022,HAFB,Canned Beans,44,0
1241,1/1/2022,Local Grocery,Granola Bars,40,0
1242,1/2/2022,Individual Donor,Laundry Detergent,30,0
1243,1/2/2022,Individual Donor,Softener,46,0
1244,1/3/2022,Individual Donor,Feminine Products (Tampons),42,0
1245,1/4/2022,Local Grocery,Canned Vegetables,40,0
1246,1/5/2022,HAFB,Toilet Paper,23,0
1247,1/5/2022,Anonymous donor,Canned Beans,35,0
1248,1/5/2022,HAFB,Granola Bars,33,0
1249,1/5/2022,Community Center,Toothbrushes,30,0
1250,1/7/2022,Community Center,Granola Bars,31,0
1251,1/7/2022,HAFB,Peanut Butter Crackers,42,0
1252,1/7/2022,Anonymous donor,Toilet Paper,28,0
1253,1/8/2022,HAFB,Rice,33,0
1254,1/8/2022,HAFB,Softener,44,0
1255,1/9/2022,HAFB,Peanut Butter,26,0
1256,1/9/2022,HAFB,Applesauce (ind),33,0
1257,1/9/2022,Local Grocery,Toothbrushes,31,0
1258,1/11/2022,HAFB,Spaghetti Rings Pasta,26,0
1259,1/12/2022,HAFB,Spaghetti Rings Pasta,33,0
1260,1/12/2022,HAFB,Permanent marker,23,0
1261,1/12/2022,HAFB,Peanut Butter Crackers,31,0
1262,1/13/2022,HAFB,Softener,31,0
1263,1/13/2022,Community Center,Spaghetti Rings Pasta,35,0
1264,1/13/2022,sorority,Juice Boxes,40,0
1265,1/14/2022,HAFB,Toilet Paper,38,0
1266,1/14/2022,HAFB,Peanut Butter,23,0
1267,1/14/2022,HAFB,Rice,46,0
1268,1/14/2022,Anonymous donor,Page-protector,31,0
1269,1/14/2022,Community Center,Rice,37,0
1270,1/16/2022,University Club,Rice Krispies Treats,28,0
1271,1/16/2022,Can Castle Contest,Spaghetti Rings Pasta,49,0
1272,1/16/2022,HAFB,Spaghetti Rings Pasta,28,0
1273,1/17/2022,HAFB,Cereal (ind),24,0
1274,1/17/2022,Anonymous donor,Softener,42,0
1275,1/17/2022,University Club,Ramen,37,0
1276,1/17/2022,HAFB,Canned Vegetables,35,0
1277,1/17/2022,HAFB,Spaghetti Noodles,40,0
1278,1/17/2022,Starting Inventory,Fruit cup,21,0
1279,1/19/2022,University Club,Granola Bars,30,0
1280,1/19/2022,Individual Donor,Pasta,47,0
1281,1/19/2022,Local Grocery,Canned Vegetables,31,0
1282,1/20/2022,Individual Donor,Peanut Butter,42,0
1283,1/21/2022,HAFB,Pork and Beans,37,0
1284,1/22/2022,Individual Donor,Toilet Paper,31,0
1285,1/22/2022,Community Center,Toothpaste,51,0
1286,1/23/2022,Anonymous donor,Peanut Butter Crackers,31,0
1287,1/23/2022,Individual Donor,Scent Booster,30,0
1288,1/23/2022,Individual Donor,Cereal,33,0
1289,1/24/2022,HAFB,Scent Booster,35,0
1290,1/25/2022,Anonymous donor,Canned Beans,26,0
1291,1/25/2022,Community Center,Laundry Detergent,46,0
1292,1/25/2022,Anonymous donor,Canned Beans,24,0
1293,1/27/2022,HAFB,Light Red Kidney Beans,46,0
1294,1/30/2022,HAFB,Granola Bars,47,0
1295,1/30/2022,Individual Donor,Granola Bars,24,0
1296,1/31/2022,HAFB,Canned Vegetables,31,0
1297,1/31/2022,Individual Donor,Rice,47,0
1298,2/1/2022,University Club,Applesauce (ind),47,0
1299,2/1/2022,Anonymous donor,Rice,36,0
1300,2/2/2022,University Club,Pasta,36,0
1301,2/2/2022,Individual Donor,Toothpaste,52,0
1302,2/2/2022,Local Grocery,Canned Vegetables,32,0
1303,2/3/2022,University Club,Pasta,18,0
1304,2/3/2022,HAFB,Granola Bars,25,0
1305,2/4/2022,University Club,Spaghetti Rings Pasta,36,0
1306,2/4/2022,HAFB,Scent Booster,23,0
1307,2/4/2022,Amnesty Day,Softener,43,0
1308,2/5/2022,University Club,Ramen,25,0
1309,2/5/2022,HAFB,Peanut Butter Crackers,38,0
1310,2/7/2022,University Club,Washcloth,36,0
1311,2/8/2022,Anonymous donor,Cereal,31,0
1312,2/8/2022,Anonymous donor,Granola / Snack Bars,27,0
1313,2/9/2022,HAFB,Fruit cup,38,0
1314,2/9/2022,sorority,Applesauce (ind),31,0
1315,2/9/2022,University Club,Scent Booster,23,0
1316,2/10/2022,Community Center,Fruit cup,38,0
1317,2/10/2022,HAFB,Softener,27,0
1318,2/10/2022,Individual Donor,Pasta,40,0
1319,2/11/2022,Local Grocery,Peanut Butter,36,0
1320,2/12/2022,Community Center,Applesauce (ind),27,0
1321,2/12/2022,Local Grocery,Water,51,0
1322,2/12/2022,HAFB,Canned Vegetables,41,0
1323,2/12/2022,Individual Donor,Peanut Butter Crackers,36,0
1324,2/13/2022,Anonymous donor,Rice,31,0
1325,2/14/2022,Anonymous donor,Softener,32,0
1326,2/15/2022,Individual Donor,Pasta,47,0
1327,2/16/2022,Individual Donor,Toilet Paper,47,0
1328,2/18/2022,Community Center,Softener,23,0
1329,2/18/2022,Local Grocery,Peanut Butter Crackers,36,0
1330,2/18/2022,HAFB,Softener,47,0
1331,2/19/2022,University Club,Rice,36,0
1332,2/19/2022,Individual Donor,Cereal,36,0
1333,2/22/2022,Anonymous donor,Chips/Crackers,43,0
1334,2/22/2022,Individual Donor,Pasta,40,0
1335,2/22/2022,HAFB,Juice Boxes,41,0
1336,2/23/2022,HAFB,Applesauce (ind),32,0
1337,2/23/2022,sorority,Canned Beans,32,0
1338,2/23/2022,HAFB,Scent Booster,45,0
1339,2/23/2022,Anonymous donor,Ramen,32,0
1340,2/23/2022,University Club,Scent Booster,32,0
1341,2/23/2022,HAFB,Canned Vegetables,45,0
1342,2/24/2022,HAFB,Peanut Butter Crackers,38,0
1343,2/25/2022,University Club,Rice,29,0
1344,2/25/2022,Community Center,Laundry Detergent,54,0
1345,2/26/2022,Individual Donor,Softener,56,0
1346,2/26/2022,Individual Donor,Cereal,43,0
1347,2/27/2022,Local Grocery,Canned Vegetables,34,0
1348,2/27/2022,Individual Donor,Cereal,40,0
1349,3/2/2022,Local Grocery,Applesauce (ind),32,0
1350,3/2/2022,HAFB,Ramen,46,0
1351,3/2/2022,University Club,Spaghetti Rings Pasta,20,0
1352,3/3/2022,University Club,Granola Bars,24,0
1353,3/4/2022,HAFB,Applesauce (ind),25,0
1354,3/4/2022,HAFB,Rice,44,0
1355,3/4/2022,Local Grocery,Oatmeal,32,0
1356,3/4/2022,Anonymous donor,Granola Bars,46,0
1357,3/4/2022,HAFB,"Laundry Detergent, Softener, Scent Booster",39,0
1358,3/4/2022,HAFB,Canned Vegetables,36,0
1359,3/5/2022,Anonymous donor,Spaghetti Rings Pasta,30,0
1360,3/6/2022,HAFB,Nutri Grain Bars,20,0
1361,3/6/2022,HAFB,Toothpaste,37,0
1362,3/6/2022,Local Grocery,Rice Krispies Treats,27,0
1363,3/8/2022,HAFB,Peanut Butter Crackers,32,0
1364,3/9/2022,Local Grocery,Rice,27,0
1365,3/10/2022,University Club,Rice Krispies Treats,29,0
1366,3/10/2022,Community Center,Softener,34,0
1367,3/10/2022,Can Castle Contest,Ramen,27,0
1368,3/10/2022,Individual Donor,"Laundry Detergent, Softener, Scent Booster",41,0
1369,3/12/2022,Community Center,Rice Krispies Treats,32,0
1370,3/12/2022,HAFB,Applesauce (ind),29,0
1371,3/12/2022,Individual Donor,Applesauce (ind),22,0
1372,3/14/2022,HAFB,Pasta,32,0
1373,3/14/2022,Homecoming Philanthropy,Fruit cup,36,0
1374,3/14/2022,Community Center,Toilet Paper,24,0
1375,3/14/2022,HAFB,Peanut Butter Crackers,27,0
1376,3/15/2022,Individual Donor,Granola Bars,30,0
1377,3/16/2022,Anonymous donor,Rice Krispies Treats,41,0
1378,3/16/2022,HAFB,Spaghetti Rings Pasta,32,0
1379,3/16/2022,Community Center,Canned Beans,34,0
1380,3/17/2022,University Club,Granola Bars,27,0
1381,3/18/2022,Community Center,Granola Bars,39,0
1382,3/19/2022,HAFB,Rice,25,0
1383,3/19/2022,Starting Inventory,Scent Booster,18,0
1384,3/20/2022,HAFB,Granola Bars,17,0
1385,3/21/2022,Individual Donor,Juice Boxes,29,0
1386,3/23/2022,Individual Donor,Rice,30,0
1387,3/24/2022,Individual Donor,Pasta,46,0
1388,3/24/2022,University Club,Applesauce (ind),32,0
1389,3/24/2022,HAFB,Softener,27,0
1390,3/25/2022,University Club,Rice,30,0
1391,3/28/2022,HAFB,Seasonings,29,0
1392,3/29/2022,HAFB,Rice Krispies Treats,34,0
1393,3/29/2022,HAFB,Granola Bars,39,0
1394,3/29/2022,Individual Donor,Canned Beans,36,0
1395,3/29/2022,Anonymous donor,Toilet Paper,24,0
1396,3/31/2022,HAFB,Fruit cup,27,0
1397,4/2/2022,Starting Inventory,Laundry Detergent,34,0
1398,4/3/2022,HAFB,Canned Vegetables,32,0
1399,4/3/2022,Community Center,Laundry Detergent,38,0
1400,4/5/2022,Individual Donor,Pasta,43,0
1401,4/6/2022,Local Grocery,Fruit cup,43,0
1402,4/7/2022,HAFB,Applesauce (ind),27,0
1403,4/8/2022,Anonymous donor,Peanut Butter Crackers,39,0
1404,4/8/2022,University Club,Toothpaste,27,0
1405,4/8/2022,Anonymous donor,Ramen,45,0
1406,4/8/2022,HAFB,Softener,32,0
1407,4/9/2022,Individual Donor,Ramen,27,0
1408,4/11/2022,HAFB,Juice Boxes,28,0
1409,4/11/2022,Can Castle Contest,Rice,47,0
1410,4/12/2022,Anonymous donor,Canned Beans,47,0
1411,4/12/2022,Anonymous donor,Applesauce (ind),32,0
1412,4/13/2022,Local Grocery,Canned Vegetables,36,0
1413,4/13/2022,HAFB,Ramen,28,0
1414,4/15/2022,HAFB,Granola Bars,34,0
1415,4/16/2022,HAFB,Rice,34,0
1416,4/17/2022,Individual Donor,Rice,48,0
1417,4/17/2022,sorority,Spaghetti Rings Pasta,18,0
1418,4/17/2022,Individual Donor,Rice,36,0
1419,4/19/2022,Anonymous donor,Scent Booster,38,0
1420,4/20/2022,Individual Donor,Canned Vegetables,43,0
1421,4/20/2022,Community Center,Fruit cup,25,0
1422,4/21/2022,Community Center,Peanut Butter Crackers,47,0
1423,4/22/2022,Anonymous donor,Juice Boxes,52,0
1424,4/22/2022,University Club,Rice,18,0
1425,4/25/2022,University Club,Deodorant,41,0
1426,4/28/2022,Community Center,Rice Crisps,48,0
1427,4/28/2022,HAFB,Spaghetti Rings Pasta,41,0
1428,4/28/2022,Anonymous donor,Applesauce (ind),43,0
1429,4/28/2022,HAFB,Scent Booster,30,0
1430,4/29/2022,University Club,Scent Booster,32,0
1431,5/2/2022,HAFB,Granola Bars,22,0
1432,5/3/2022,University Club,Peanut Butter Crackers,30,0
1433,5/4/2022,Community Center,Juice Boxes,30,0
1434,5/5/2022,Anonymous donor,Toilet Paper,20,0
1435,5/5/2022,HAFB,Applesauce (ind),30,0
1436,5/6/2022,HAFB,Granola / Snack Bars,23,0
1437,5/7/2022,HAFB,Laundry Detergent,30,0
1438,5/7/2022,HAFB,Fruit cup,25,0
1439,5/8/2022,Local Grocery,Granola Bars,32,0
1440,5/9/2022,Anonymous donor,Granola Bars,27,0
1441,5/11/2022,Community Center,Juice Boxes,34,0
1442,5/13/2022,Community Center,Canned Beans,22,0
1443,5/15/2022,Individual Donor,Scent Booster,30,0
1444,5/16/2022,Individual Donor,Fruit cup,33,0
1445,5/16/2022,HAFB,Toilet Paper,23,0
1446,5/16/2022,HAFB,Rice Krispies Treats,30,0
1447,5/17/2022,Local Grocery,Ramen,20,0
1448,5/17/2022,Anonymous donor,Cereal,29,0
1449,5/19/2022,Individual Donor,Broccoli and Cheese,22,0
1450,5/19/2022,HAFB,Applesauce (ind),22,0
1451,5/21/2022,University Club,Fruit cup,27,0
1452,5/21/2022,HAFB,Toothpaste,27,0
1453,5/22/2022,Individual Donor,Seasonings,29,0
1454,5/22/2022,Anonymous donor,Ramen,23,0
1455,5/23/2022,Local Grocery,Spaghetti Rings Pasta,26,0
1456,5/24/2022,Individual Donor,Spaghetti Rings Pasta,30,0
1457,5/24/2022,Local Grocery,Fruit cup,34,0
1458,5/24/2022,Individual Donor,Toothpaste,25,0
1459,5/26/2022,HAFB,Spaghetti Rings Pasta,27,0
1460,5/26/2022,HAFB,Applesauce (ind),22,0
1461,5/27/2022,sorority,Granola Bars,23,0
1462,5/28/2022,Homecoming Philanthropy,Rice Krispies Treats,27,0
1463,5/28/2022,Homecoming Philanthropy,Canned Beans,29,0
1464,5/29/2022,Anonymous donor,Rice Krispies Treats,26,0
1465,5/29/2022,Community Center,Applesauce (ind),30,0
1466,5/30/2022,Local Grocery,Applesauce (ind),19,0
1467,5/30/2022,Community Center,Fruit cup,16,0
1468,5/30/2022,University Club,Canned Beans,32,0
1469,5/31/2022,Local Grocery,Canned Vegetables,25,0
1470,5/31/2022,Anonymous donor,Pasta,22,0
1471,5/31/2022,Local Grocery,Spaghetti Rings Pasta,27,0
1472,5/31/2022,HAFB,Peanut Butter Crackers,20,0
1473,6/1/2022,University Club,Rice,28,0
1474,6/1/2022,HAFB,Pasta,27,0
1475,6/2/2022,sorority,Scent Booster,14,0
1476,6/4/2022,Individual Donor,Testing Material/Blue Book/Scantron,30,0
1477,6/4/2022,Anonymous donor,Rice,25,0
1478,6/5/2022,Anonymous donor,Peanut Butter Crackers,17,0
1479,6/8/2022,University Club,Scent Booster,17,0
1480,6/8/2022,Community Center,Spaghetti Rings Pasta,17,0
1481,6/9/2022,Local Grocery,Spaghetti Rings Pasta,35,0
1482,6/9/2022,Community Center,Rice Krispies Treats,28,0
1483,6/9/2022,HAFB,Pasta,30,0
1484,6/10/2022,HAFB,Canned Beans,35,0
1485,6/11/2022,Individual Donor,Fruit cup,27,0
1486,6/11/2022,Anonymous donor,Scent Booster,21,0
1487,6/11/2022,HAFB,Peanut Butter Crackers,28,0
1488,6/12/2022,Local Grocery,Pasta,27,0
1489,6/12/2022,Community Center,Pasta,31,0
1490,6/13/2022,University Club,Peanut Butter,30,0
1491,6/14/2022,Individual Donor,Toilet Paper,40,0
1492,6/16/2022,Local Grocery,Granola Bars,27,0
1493,6/17/2022,Local Grocery,Peanut Butter Crackers,40,0
1494,6/17/2022,Local Grocery,Pasta,21,0
1495,6/17/2022,HAFB,Softener,28,0
1496,6/18/2022,Anonymous donor,Rice,22,0
1497,6/18/2022,Anonymous donor,Water,31,0
1498,6/19/2022,Individual Donor,Spaghetti Rings Pasta,32,0
1499,6/20/2022,Local Grocery,Canned Beans,30,0
1500,6/20/2022,HAFB,Granola Bars,20,0
1501,6/20/2022,Individual Donor,Applesauce (ind),25,0
1502,6/21/2022,HAFB,Green Beans,30,0
1503,6/21/2022,Homecoming Philanthropy,Spaghetti Rings Pasta,32,0
1504,6/22/2022,University Club,Canned Beans,21,0
1505,6/22/2022,HAFB,Canned Vegetables,32,0
1506,6/23/2022,University Club,Ramen,37,0
1507,6/23/2022,Anonymous donor,Applesauce (ind),37,0
1508,6/23/2022,HAFB,Granola Bars,22,0
1509,6/23/2022,HAFB,Toilet Paper,27,0
1510,6/24/2022,Anonymous donor,Rice,35,0
1511,6/25/2022,sorority,Toilet Paper,38,0
1512,6/27/2022,Anonymous donor,Granola Bars,34,0
1513,6/27/2022,Anonymous donor,Cereal,22,0
1514,6/27/2022,Individual Donor,Laundry Detergent,21,0
1515,6/27/2022,University Club,Canned Beans,35,0
1516,6/28/2022,HAFB,Granola Bars,28,0
1517,6/28/2022,HAFB,"Laundry Detergent, Softener, Scent Booster",28,0
1518,6/30/2022,HAFB,Fruit cup,24,0
1519,6/30/2022,HAFB,Cereal,50,0
1520,6/30/2022,University Club,Applesauce (ind),30,0
1521,6/30/2022,Anonymous donor,Peanut Butter Crackers,32,0
1522,6/30/2022,HAFB,Scent Booster,30,0
1523,6/30/2022,HAFB,Granola Bars,21,0
1524,7/2/2022,Local Grocery,Rice,2,0
1525,7/2/2022,Anonymous donor,Pasta,2,0
1526,7/2/2022,HAFB,Rice Crisps,3,0
1527,7/3/2022,Local Grocery,Scent Booster,2,0
1528,7/6/2022,HAFB,Toothpaste,1,0
1529,7/7/2022,Anonymous donor,Rice,3,0
1530,7/8/2022,Homecoming Philanthropy,Pasta,2,0
1531,7/8/2022,University Club,Spaghetti Rings Pasta,1,0
1532,7/10/2022,Anonymous donor,Granola Bars,2,0
1533,7/10/2022,Community Center,Toilet Paper,1,0
1534,7/10/2022,Starting Inventory,Shampoo,2,0
